sku,region,currency,gross_price_cents,tax_basis,delivery_price_cents,delivery_status,stock_state,stock_quantity,observed_at,valid_until,commercial_version
NS-B30,IE,EUR,44900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-C10,IE,EUR,109900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-C20,IE,EUR,64900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-C30,IE,EUR,49900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-W10,IE,EUR,17900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-W20,IE,EUR,26900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-PL100,IE,EUR,27900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-PL150,IE,EUR,39900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-PL200,IE,EUR,52900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-D10,IE,EUR,49900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-D20,IE,EUR,89900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-K10,IE,EUR,25900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-X10,IE,EUR,5900,prototype_gross,900,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-M10,IE,EUR,4900,prototype_gross,900,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-FL10,IE,EUR,23900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-FL20,IE,EUR,38900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-ST10,IE,EUR,15900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-ST20,IE,EUR,24900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
