variant_id,capability,suitability,priority_weight,evidence_or_policy_id
k10-kettlebell-set,open_floor_conditioning,supported,7,evidence-k10-kettlebell-set
k10-kettlebell-set,free_weight_hypertrophy,supported,7,evidence-k10-kettlebell-set
k10-kettlebell-set,general_fitness,supported,7,evidence-k10-kettlebell-set
x10-band-kit,mobility,supported,8,evidence-x10-band-kit
x10-band-kit,general_fitness,supported,8,evidence-x10-band-kit
x10-band-kit,pull_up,supported,8,evidence-x10-band-kit
m10-training-mat,mobility,supported,7,evidence-m10-training-mat
m10-training-mat,general_fitness,supported,7,evidence-m10-training-mat
f10-flooring-general,flooring,supported,8,evidence-f10-flooring-general
f10-flooring-general,general_fitness,supported,8,evidence-f10-flooring-general
f20-flooring-impact,flooring,supported,7,evidence-f20-flooring-impact
f20-flooring-impact,barbell_strength,supported,7,evidence-f20-flooring-impact
st10-storage-vertical,storage,supported,8,evidence-st10-storage-vertical
st10-storage-vertical,open_floor_conditioning,supported,8,evidence-st10-storage-vertical
st20-storage-horizontal,storage,supported,6,evidence-st20-storage-horizontal
st20-storage-horizontal,free_weight_hypertrophy,supported,6,evidence-st20-storage-horizontal
