record_type,ecosystem_id,rack_family_id,rack_version_id,display_name,height_variant,configuration_schema_json,identification_clues_json,active,attachment_id,sku,category_id,product_url,relationship_id,evidence_state,rationale,conditions_json,limitations_json,evidence_source_title,evidence_source_url,source_date,last_verified_at,review_due_at,reviewer,record_status,price,currency,stock_state,commerce_source,commerce_updated_at,definition_id,definition_label,definition_text
attachment,rival_demo,,,Rival High Row 01,,,,true,att_rival,RV-HRN-01,pulley,https://rival.example.invalid/products/high-row,,,,,,,,,,,,,,,,,,,,
relationship,northstar_demo,,atlas_v2_220,,,,,,att_spotter,,,,rel-v2-spotter,manufacturer_confirmed,Approved for the exact Atlas V2 220 cm rack record.,[],"[""Follow the attachment installation instructions.""]",Northstar fictional compatibility bulletin A2,https://northstar.example.invalid/evidence/A2,2026-06-01,2026-08-01T09:00:00Z,2027-06-01T00:00:00Z,Compatibility Steward,approved,,,,,,,,
relationship,northstar_demo,,atlas_v2_220,,,,,,att_cable,,,,rel-v2-cable,condition_dependent,Approved only with the recorded stabilisation and clearance conditions.,"[{""id"":""cable_stabilised"",""label"":""Rack stabilisation confirmed"",""description"":""The rack must be floor anchored or fitted with the recorded Northstar rear stabiliser."",""applicable_value"":""floor_anchored_or_rear_stabiliser""},{""id"":""cable_route_clear"",""label"":""Cable route checked"",""description"":""The installation-instruction cable route must be free from obstruction."",""applicable_value"":""instruction_route_clear""}]","[""The record does not assess room layout or movement clearance.""]",Northstar fictional compatibility bulletin C7,https://northstar.example.invalid/evidence/C7,2026-07-12,2026-08-02T10:15:00Z,2027-07-12T00:00:00Z,Compatibility Steward,approved,,,,,,,,
relationship,northstar_demo,,atlas_v2_220,,,,,,att_dip,,,,rel-v2-dip,known_incompatible,The V2 upright interface is explicitly excluded for this attachment.,[],"[""Do not substitute a similar bracket.""]",Northstar fictional incompatibility notice D4,https://northstar.example.invalid/evidence/D4,2026-05-20,2026-08-03T11:30:00Z,2027-05-20T00:00:00Z,Compatibility Steward,approved,,,,,,,,
relationship,northstar_demo,,atlas_v2_220,,,,,,att_landmine,,,,rel-v2-landmine,unknown_review_required,Manufacturer confirmation for this exact pairing is not recorded.,[],"[""Absence of a record does not mean incompatible.""]",Northstar fictional review queue L3,https://northstar.example.invalid/evidence/L3,2026-07-30,2026-08-04T08:00:00Z,2027-01-30T00:00:00Z,Compatibility Steward,approved,,,,,,,,
relationship,northstar_demo,,atlas_v2_220,,,,,,att_storage,,,,rel-v2-storage-old,manufacturer_confirmed,The previous record approved this exact pairing.,[],"[""This record is deliberately stale for demonstration.""]",Northstar fictional compatibility bulletin P1,https://northstar.example.invalid/evidence/P1,2024-01-15,2024-06-01T12:00:00Z,2025-01-15T00:00:00Z,Compatibility Steward,approved,,,,,,,,
relationship,northstar_demo,,atlas_v2_220,,,,,,att_jammer,,,,rel-v2-jammer-a,manufacturer_confirmed,One current record approves the pairing.,[],"[""Contradictory demonstration fixture.""]",Northstar fictional compatibility bulletin J8A,https://northstar.example.invalid/evidence/J8A,2026-07-01,2026-08-05T09:00:00Z,2027-07-01T00:00:00Z,Compatibility Steward,approved,,,,,,,,
relationship,northstar_demo,,atlas_v2_220,,,,,,att_jammer,,,,rel-v2-jammer-b,known_incompatible,A second current record rejects the same pairing.,[],"[""Contradictory demonstration fixture.""]",Northstar fictional incompatibility notice J8B,https://northstar.example.invalid/evidence/J8B,2026-07-02,2026-08-05T09:05:00Z,2027-07-02T00:00:00Z,Compatibility Steward,approved,,,,,,,,
relationship,northstar_demo,,atlas_v2_220,,,,,,att_shelf,,,,rel-v2-shelf,condition_dependent,Approval depends on the recorded shelf condition.,not-json,"[""Malformed demonstration fixture.""]",Northstar fictional compatibility bulletin S6,https://northstar.example.invalid/evidence/S6,2026-07-03,2026-08-06T09:00:00Z,2027-07-03T00:00:00Z,Compatibility Steward,approved,,,,,,,,
relationship,northstar_demo,,atlas_v1_220,,,,,,att_spotter,,,,rel-v1-spotter,known_incompatible,This V2 attachment is explicitly excluded from the V1 rack interface.,[],"[""Do not infer fit from the shared Atlas family name.""]",Northstar fictional incompatibility notice A1,https://northstar.example.invalid/evidence/A1,2026-06-02,2026-08-01T09:30:00Z,2027-06-02T00:00:00Z,Compatibility Steward,approved,,,,,,,,
relationship,northstar_demo,,atlas_v1_220,,,,,,att_dip,,,,rel-v1-dip,manufacturer_confirmed,Approved for the exact Atlas V1 220 cm rack record.,[],"[""Follow the attachment installation instructions.""]",Northstar fictional compatibility bulletin D1,https://northstar.example.invalid/evidence/D1,2026-06-03,2026-08-01T09:40:00Z,2027-06-03T00:00:00Z,Compatibility Steward,approved,,,,,,,,
relationship,northstar_demo,,atlas_v1_220,,,,,,att_landmine,,,,rel-v1-landmine,condition_dependent,Approved only when the rack stabilisation condition is met.,"[{""id"":""landmine_stabilised"",""label"":""Rack stabilisation confirmed"",""description"":""The rack must be floor anchored before this attachment is used."",""applicable_value"":""floor_anchored""}]","[""The record does not assess the floor substrate.""]",Northstar fictional compatibility bulletin L1,https://northstar.example.invalid/evidence/L1,2026-06-04,2026-08-01T09:50:00Z,2027-06-04T00:00:00Z,Compatibility Steward,approved,,,,,,,,
relationship,northstar_demo,,summit_v1_210,,,,,,att_spotter,,,,rel-s1-spotter,manufacturer_confirmed,Approved for the exact Summit Compact V1 record.,[],"[""Follow the attachment installation instructions.""]",Northstar fictional compatibility bulletin S1,https://northstar.example.invalid/evidence/S1,2026-06-05,2026-08-01T10:00:00Z,2027-06-05T00:00:00Z,Compatibility Steward,approved,,,,,,,,
relationship,northstar_demo,,summit_v1_210,,,,,,att_cable,,,,rel-s1-cable,known_incompatible,The compact rack is explicitly excluded from this cable attachment.,[],"[""Do not infer fit from upright appearance.""]",Northstar fictional incompatibility notice S2,https://northstar.example.invalid/evidence/S2,2026-06-06,2026-08-01T10:10:00Z,2027-06-06T00:00:00Z,Compatibility Steward,approved,,,,,,,,
commerce,northstar_demo,,,,,,,,att_spotter,,,,,,,,,,,,,,,,149.00,EUR,in_stock,Northstar fictional commerce feed,2026-08-10T08:00:00Z,,,
commerce,northstar_demo,,,,,,,,att_cable,,,,,,,,,,,,,,,,399.00,EUR,preorder,Northstar fictional commerce feed,2026-07-01T08:00:00Z,,,
definition,northstar_demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact_version,Exact model / version,The version identifier on the rack label selects one governed product record; family similarity is not compatibility evidence.
definition,northstar_demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_state,Evidence state,The status produced by deterministic validation of the exact pairing record and its provenance.
definition,northstar_demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compatibility_freshness,Compatibility checked,The date the compatibility owner last verified the governed relationship; it is separate from price and stock updates.
